Algorithm,DataSet,FeatureCount,RMSE.ByRating,RMSE.ByUser,nDCG,TopN.nDCG
SVDUserMean,PartialData,30,0.934979829,0.857614458,0.956142401,0.148596356
SVDPersMean,PartialData,30,0.893954919,0.813782966,0.963391845,0.157755951
SVDItemMean,PartialData,40,0.94597251,0.870239028,0.963000785,0.156185272
SVDGlobalMean,PartialData,40,0.989205537,0.916769712,0.952337591,0.149099258
SVDUserMean,PartialData,40,0.946580929,0.868862553,0.951495777,0.138585996
SVDPersMean,PartialData,40,0.900959092,0.819721325,0.962311756,0.152505725
SVDGlobalMean,PartialData,50,1.001183759,0.929865702,0.949174171,0.137722569
SVDItemMean,PartialData,50,0.957877813,0.88320585,0.961444438,0.151481739
PersMean,PartialData,,0.923195488,0.840986765,0.962152304,0.157812518
ItemItem,PartialData,,0.918916906,0.830943621,0.95575209,0.12827334
SVDUserMean,PartialData,50,0.952994248,0.875999705,0.950330193,0.128569903
SVDPersMean,PartialData,50,0.907500334,0.826587781,0.961720842,0.148070772
SVDUserMean,PartialData,1,0.94408414,0.864488248,0.958918523,0.152448126
SVDItemMean,PartialData,1,0.957711072,0.881192334,0.962514451,0.158384221
SVDGlobalMean,PartialData,1,1.014555074,0.946614187,0.946319147,0.109454665
SVDPersMean,PartialData,1,0.911456244,0.829359374,0.963091543,0.158263857
SVDGlobalMean,PartialData,5,0.959780192,0.887786884,0.962934564,0.158195916
SVDItemMean,PartialData,5,0.930811419,0.855567352,0.965385472,0.166871561
SVDUserMean,PartialData,5,0.92481911,0.84622206,0.962570298,0.15653952
SVDPersMean,PartialData,5,0.891868563,0.811652954,0.965668249,0.16475697
SVDGlobalMean,PartialData,10,0.95974688,0.886789377,0.960947638,0.171770716
SVDUserMean,PartialData,10,0.920465839,0.841676199,0.960584913,0.166626695
SVDItemMean,PartialData,10,0.924397703,0.849433534,0.96657875,0.170480981
SVDPersMean,PartialData,10,0.885204321,0.804158247,0.96654174,0.171546268
SVDGlobalMean,PartialData,15,0.961473243,0.887667584,0.962169521,0.182485704
SVDItemMean,PartialData,15,0.92690929,0.850637291,0.966391183,0.175092319
SVDUserMean,PartialData,15,0.9192814,0.840868471,0.96145434,0.173199534
SVDGlobalMean,PartialData,20,0.968012157,0.893082085,0.960073474,0.177650225
SVDPersMean,PartialData,15,0.883606797,0.80183683,0.965895878,0.166606451
SVDItemMean,PartialData,20,0.932001144,0.854700638,0.965623305,0.172035903
SVDUserMean,PartialData,20,0.922724038,0.844164604,0.959907025,0.166510037
SVDGlobalMean,PartialData,25,0.9728737,0.898600917,0.958468905,0.17081709
SVDPersMean,PartialData,20,0.886556411,0.804895261,0.965338768,0.166181292
SVDItemMean,PartialData,25,0.937835114,0.86029382,0.965675332,0.172474901
SVDUserMean,PartialData,25,0.927145932,0.84854825,0.959149367,0.1651238
SVDGlobalMean,PartialData,30,0.978769297,0.904424195,0.957498259,0.165363316
SVDPersMean,PartialData,25,0.888475284,0.808159667,0.965389428,0.166004303
SVDItemMean,PartialData,30,0.946760489,0.868680243,0.965292844,0.172254831
SVDUserMean,PartialData,30,0.933314515,0.854173048,0.958451591,0.15703539
SVDGlobalMean,PartialData,40,1.00039609,0.926236346,0.954592928,0.154872004
SVDPersMean,PartialData,30,0.892046609,0.810934402,0.965705041,0.168528678
SVDItemMean,PartialData,40,0.957280354,0.878932973,0.964623073,0.171089106
SVDUserMean,PartialData,40,0.944029579,0.864404449,0.953897438,0.146995802
SVDPersMean,PartialData,40,0.897936016,0.816007649,0.965068449,0.171432214
SVDGlobalMean,PartialData,50,1.01391361,0.939245332,0.952691946,0.138931174
PersMean,PartialData,,0.918724127,0.83872614,0.961685876,0.145648242
SVDItemMean,PartialData,50,0.9706449,0.891477171,0.9628352,0.166820475
SVDUserMean,PartialData,50,0.949881043,0.869744502,0.953833865,0.135545428
ItemItem,PartialData,,0.897520061,0.813419298,0.955703539,0.129466173
SVDPersMean,PartialData,50,0.903862684,0.821785889,0.964273789,0.164379843
SVDGlobalMean,PartialData,1,1.009224566,0.940506438,0.94752041,0.108049868
SVDUserMean,PartialData,1,0.941803799,0.862956037,0.960608728,0.143641942
SVDItemMean,PartialData,1,0.952292133,0.876998557,0.962485428,0.145553231
SVDPersMean,PartialData,1,0.9048985,0.824930866,0.963454083,0.146272529
SVDGlobalMean,PartialData,5,0.953788206,0.882545605,0.963557193,0.164081875
SVDUserMean,PartialData,5,0.917128251,0.840782165,0.9638558,0.159755099
SVDItemMean,PartialData,5,0.92388673,0.849895533,0.964909054,0.153603648
SVDPersMean,PartialData,5,0.88297022,0.805775802,0.965122892,0.154731411
SVDItemMean,PartialData,10,0.91852527,0.843979855,0.966152,0.162189459
SVDGlobalMean,PartialData,10,0.953226596,0.879647021,0.961949738,0.166208702
SVDUserMean,PartialData,10,0.916990729,0.837923614,0.962281861,0.165001511
SVDPersMean,PartialData,10,0.87755376,0.799412509,0.96581433,0.15734907
SVDGlobalMean,PartialData,15,0.961279566,0.88418393,0.960005784,0.168871763
SVDUserMean,PartialData,15,0.92132588,0.84067694,0.960504039,0.167694529
SVDItemMean,PartialData,15,0.92460374,0.846162999,0.965572917,0.165109558
SVDPersMean,PartialData,15,0.875614569,0.796475345,0.966122442,0.161960639
SVDGlobalMean,PartialData,20,0.966002334,0.888725115,0.95945167,0.165059878
SVDUserMean,PartialData,20,0.921906305,0.842021795,0.958943406,0.166094425
SVDItemMean,PartialData,20,0.93065536,0.850665572,0.965543797,0.16354062
SVDPersMean,PartialData,20,0.880056052,0.800070323,0.965684521,0.158491933
SVDGlobalMean,PartialData,25,0.976205237,0.897263012,0.957667159,0.159775015
SVDUserMean,PartialData,25,0.929801059,0.848932665,0.956734389,0.157755295
SVDItemMean,PartialData,25,0.935735744,0.855401676,0.965149501,0.161253594
SVDPersMean,PartialData,25,0.882886529,0.801988581,0.964922597,0.157560793
SVDGlobalMean,PartialData,30,0.984514044,0.90441259,0.955632098,0.158680911
SVDUserMean,PartialData,30,0.933316464,0.851691802,0.956947475,0.155464278
SVDItemMean,PartialData,30,0.949126166,0.866097084,0.964383275,0.157914869
SVDPersMean,PartialData,30,0.886500104,0.805118743,0.96493122,0.156455973
SVDGlobalMean,PartialData,40,0.999156916,0.918568351,0.95482021,0.147343843
SVDUserMean,PartialData,40,0.943282002,0.861386638,0.955697387,0.146823103
SVDItemMean,PartialData,40,0.959765232,0.876129462,0.963419922,0.152940509
SVDPersMean,PartialData,40,0.894110842,0.811974787,0.963682709,0.152990632
SVDGlobalMean,PartialData,50,1.020188996,0.939707989,0.949912513,0.131765339
PersMean,PartialData,,0.893708227,0.821807538,0.962184624,0.150325764
ItemItem,PartialData,,0.870034873,0.797110822,0.954938772,0.127713785
SVDItemMean,PartialData,50,0.971886065,0.889278578,0.962761004,0.152603336
SVDUserMean,PartialData,50,0.95511171,0.874019779,0.951078205,0.139118898
SVDPersMean,PartialData,50,0.902189658,0.820611743,0.963243887,0.153394433
SVDGlobalMean,PartialData,1,0.983418752,0.926149511,0.948329092,0.112686277
SVDItemMean,PartialData,1,0.927293834,0.862034885,0.96262295,0.14955344
SVDUserMean,PartialData,1,0.911958614,0.843419254,0.960466292,0.142307911
SVDPersMean,PartialData,1,0.880959775,0.808907681,0.963611638,0.148289956
SVDGlobalMean,PartialData,5,0.929733046,0.869020146,0.964173716,0.162683764
SVDUserMean,PartialData,5,0.89500339,0.826989451,0.963678856,0.152268133
SVDGlobalMean,PartialData,10,0.92829021,0.867151191,0.962827647,0.16506485
SVDItemMean,PartialData,5,0.899415185,0.83607398,0.965975112,0.152314141
SVDPersMean,PartialData,5,0.859725335,0.790341221,0.966027972,0.150665355
SVDUserMean,PartialData,10,0.889406424,0.822703282,0.962280388,0.154986488
SVDItemMean,PartialData,10,0.891310297,0.82800387,0.967272896,0.153428807
SVDPersMean,PartialData,10,0.852188441,0.783162659,0.966642259,0.152930256
SVDGlobalMean,PartialData,15,0.933098903,0.871685881,0.960884363,0.162399549
SVDUserMean,PartialData,15,0.893945911,0.825916405,0.960882161,0.157228659
SVDItemMean,PartialData,15,0.89560187,0.830685882,0.967149204,0.152635769
SVDPersMean,PartialData,15,0.85116721,0.781839927,0.967903967,0.152926167
SVDGlobalMean,PartialData,20,0.942362433,0.879297798,0.960531371,0.158196598
SVDUserMean,PartialData,20,0.899184875,0.829268225,0.959460536,0.15391832
SVDPersMean,PartialData,20,0.856115103,0.786112945,0.966903074,0.151366863
SVDItemMean,PartialData,20,0.899333412,0.834104097,0.967214025,0.152923818
SVDGlobalMean,PartialData,25,0.948042823,0.885898263,0.959021282,0.154089064
SVDUserMean,PartialData,25,0.905443076,0.836324351,0.957889097,0.154635425
SVDItemMean,PartialData,25,0.90366409,0.838879516,0.966493135,0.150474206
SVDPersMean,PartialData,25,0.861084933,0.790857993,0.966238417,0.152716487
SVDGlobalMean,PartialData,30,0.953307732,0.890959254,0.958114311,0.15535259
SVDUserMean,PartialData,30,0.908675801,0.838766056,0.95683763,0.150958911
SVDItemMean,PartialData,30,0.910465348,0.845641756,0.965268932,0.148002303
SVDPersMean,PartialData,30,0.862124627,0.791122176,0.964868667,0.151153532
SVDGlobalMean,PartialData,40,0.970090244,0.907222629,0.954603015,0.142991516
SVDItemMean,PartialData,40,0.922476522,0.855984072,0.964064896,0.147133722
SVDGlobalMean,PartialData,50,0.984951794,0.920903884,0.952686973,0.133477577
SVDUserMean,PartialData,40,0.918723742,0.849151164,0.953056012,0.140522775
SVDPersMean,PartialData,40,0.868408501,0.796869136,0.964415637,0.142266373
PersMean,PartialData,,0.921624791,0.841506345,0.961926914,0.149615818
ItemItem,PartialData,,0.915076429,0.828842637,0.957486902,0.131463433
SVDItemMean,PartialData,50,0.935978828,0.86802413,0.963356206,0.144704577
SVDGlobalMean,PartialData,1,1.002899571,0.938744257,0.946268159,0.106741027
SVDUserMean,PartialData,50,0.924202852,0.854792758,0.953609864,0.133458211
SVDPersMean,PartialData,50,0.873851918,0.801617835,0.964369631,0.144497106
SVDGlobalMean,PartialData,5,0.94859239,0.882298754,0.964342162,0.170344301
SVDItemMean,PartialData,1,0.947703273,0.876514258,0.962921073,0.151309048
SVDUserMean,PartialData,1,0.94270785,0.863415089,0.959640897,0.146980912
SVDPersMean,PartialData,1,0.906976941,0.827798275,0.963744877,0.152446401
SVDUserMean,PartialData,5,0.921452097,0.842565658,0.964210563,0.163619851
SVDPersMean,PartialData,5,0.888790163,0.810338257,0.965891882,0.159803221
SVDGlobalMean,PartialData,10,0.947990595,0.880504786,0.962010482,0.164050217
SVDItemMean,PartialData,5,0.920922665,0.851696,0.96571833,0.163953561
SVDUserMean,PartialData,10,0.919259495,0.84034942,0.961770404,0.164748066
SVDItemMean,PartialData,10,0.91428944,0.844487831,0.966782089,0.165985465
SVDGlobalMean,PartialData,15,0.953599457,0.885422518,0.96110935,0.163047015
